1	181	     181
2	182          181
3	187          184
4	178          180
5	185          180
6	184          183
7	184          182
8	183          186
9	185          187
10	180          182
11	185          184
12	191          186
13	185          181
14	175          182
15	178          179
16	188          184
17	189          182
18	183          181
19	186          177
20	191          189
21	184          183
22	183          187
23	186          180
24	188          172
25	186          181
26	184          188
27	189          185
28	180          188
29	187          187
30	186          181
31	186          183
32	192          182
33	185          185
34	178          181
35	187          178
36	186          178
37	186          186
38	188          186
39	188          184
40	183          187
41	185          179
42	191          186
43	187          184
44	187          178
45	190          185
46	190          183
47	184          184
48	189          189
49	188          178
50	187          178
51	187          182
52	175          185
53	161          189
54	182          187
55	180          181
56	183          170
57	189          181
58	180          178
59	187          183
60	177          175
61	186          183
62	190          183
63	185          181
64	186          184
65	190          183
66	186          181
67	184          182
68	188          184
69	188          174
70	179          180
71	181          183
72	183          171
73	183          184
74	185          177
75	182          173
76	184          182
77	184          184
78	187          181
79	184          186
80	179          186
81	186          187
82	184          187
83	184          184
84	180          178
85	188          183
86	184          184
87	182          183
88	191          183
89	186          185
90	185          185
91	181          183
92	184          178
93	188          180
94	186          176
95	185          189
96	191          187
97	183          188
98	156          187
99	192          180
100	189     	171
101	188     	184
102	185     	181
103	187     	185
104	184     	183
105	186     	189
106	187     	184
107	189     	187
108	174     	183
109	186     	182
110	190     	185
111	182     	188
112	185     	184
113	191     	194
114	188     	186
115	186     	187
116	188     	185
117	183     	181
118	187     	188
119	189     	182
120	190     	183
121	185     	184
122	187     	186
123	189     	188
124	181     	177
125	186     	186
126	184     	184
127	196     	188
128	183     	177
129	179     	186
130	185     	183
131	187     	183
132	182     	184
133	183     	181
134	182     	183
135	183     	184
136	185     	186
137	186     	189
138	182     	190
139	178     	189
140	177     	186
141	182     	187
142	181     	186
143	148     	187
144	182     	187
145	181     	185
146	184     	177
147	184     	182
148	183     	185
149	181     	181
150	183     	185
151	188     	178
152	187     	188
153	184     	186
154	186     	189
155	186     	183
156	185     	177
157	181     	180
158	182     	180
159	181     	168
160	180     	184
161	186     	184
162	183     	189
163	186     	183
164	185     	183
165	181     	186
166	188     	188
167	180     	186
168	182     	188
169	182     	188
170	186     	188
171	181     	186
172	180     	189
173	188     	186
174	186     	178
175	183     	178
176	182     	183
177	184     	173
178	186     	161
179	178     	186
180	181     	183
181	190     	181
182	173     	173
183	185     	173
184	178     	179
185	182     	181
186	189     	180
187	184     	180
188	163     	185
189	155     	185
190	180     	182
191	183     	181
192	180     	183
193	184     	183
194	187     	184
195	177     	184
196	187     	181
197	187     	179
198	187     	185
199	187     	179
200	182     	185
201	185     	182
202	181     	184
203	180     	188
204	185     	183
205	187     	185
206	184     	187
207	183     	188
208	186     	187
209	188     	181
210	185     	179
211	189     	186
212	185     	190
213	188     	184
214	189     	183
215	186     	181
216	188     	185
217	184     	186
218	186     	189
219	186     	181
220	189     	184
221	189     	188
222	186     	181
223	181     	185
224	185     	184
225	182     	175
226	180     	179
227	187     	183
228	181     	182
229	182     	180
230	180     	177
231	191     	187
232	187     	186
233	182     	188
234	183     	184
235	186     	181
236	183     	172
237	187     	183
238	185     	186
239	188     	186
240	138     	184
241	156     	187
242	182     	183
243	185     	183
244	182     	186
245	180     	183
246	190     	182
247	187     	184
248	183     	172
249	184     	189
250	186     	181
251	183     	181
252	176     	165
253	187     	180
254	181     	183
255	188     	181
256	185     	169
257	185     	185
258	183     	186
259	181     	202
260	184     	185
261	184     	186
262	183     	181
263	181     	182
264	187     	180
265	188     	190
266	186     	181
267	185     	185
268	183     	181
269	182     	179
270	191     	184
271	187     	186
272	185     	187
273	182     	181
274	179     	187
275	187     	190
276	182     	187
277	188     	184
278	182     	187
279	179     	187
280	183     	186
281	179     	190
282	190     	181
283	190     	177
284	180     	187
285	183     	174
286	185     	182
287	187     	185
288	186     	189
289	187     	185
290	164     	184
291	188     	181
292	185     	168
293	180     	181
294	181     	178
295	185     	183
296	186     	184
297	184     	185
298	183     	190
299	186     	180
300	192     	180
