41	185          179
42	191          186
43	187          184
44	187          178
45	190          185
46	190          183
47	184          184
48	189          189
49	188          178
50	187          178
51	187          182
52	175          185
53	161          189
54	182          187
55	180          181
56	183          170
57	189          181
58	180          178
59	187          183
60	177          175
61	186          183
62	190          183
63	185          181
64	186          184
65	190          183
66	186          181
67	184          182
68	188          184
69	188          174
70	179          180

