1	171
2	184
3	185
4	184
5	184
6	188
7	189
8	179
9	176
10	182
11	181
12	186
13	179
14	175
15	174
16	176
17	177
18	182
19	186
20	181
21	183
22	185
23	181
24	181
25	181
26	177
27	184
28	185
29	182
30	187
31	186
32	181
33	181
34	182
35	186
36	188
37	182
38	181
39	183
40	183
41	179
42	185
43	176
44	179
45	174
46	168
47	175
48	174
49	176
50	178
51	177
52	169
53	177
54	170
55	180
56	178
57	175
58	166
59	175
60	179
61	174
62	174
63	176
64	168
65	173
66	178
67	180
68	176
69	169
70	171
71	179
72	176
73	178
74	182
75	176
76	175
77	178
78	167
79	180
80	179
81	182
82	170
83	180
84	179
85	181
86	175
87	179
88	179
89	172
90	173
91	174
92	176
93	181
94	183
95	178
96	170
97	179
98	160
99	178
100	177
101	179
102	163
103	155
104	164
105	171
106	168
107	172
108	180
109	167
110	172
111	179
112	176
113	174
114	175
115	174
116	176
117	181
118	179
119	182
120	179
121	180
122	180
123	177
124	179
125	178
126	175
127	179
128	177
129	182
130	180
131	177
132	178
133	181
134	186
135	192
136	193
137	188
138	186
139	187
140	185
141	181
142	186
143	185
144	187
145	182
146	185
147	187
148	186
149	186
150	182
151	186
152	183
153	182
154	177
155	183
156	184
157	186
158	182
159	187
160	183
161	186
162	176
163	179
164	186
165	186
166	183
167	182
168	185
169	183
170	183
171	177
172	181
173	182
174	174
175	175
176	179
177	177
178	167
179	167
180	181
181	176
182	172
183	180
184	181
185	179
186	178
187	180
188	172
189	180
190	173
191	181
192	175
193	174
194	173
195	174
196	175
197	180
198	180
199	179
200	178
201	181
202	182
203	178
204	181
205	180
206	178
207	184
208	183
209	183
210	168
211	177
212	180
213	178
214	180
215	180
216	178
217	181
218	180
219	180
220	181
221	182
222	178
223	182
224	183
225	176
226	178
227	168
228	174
229	172
230	177
231	154
232	182
233	180
234	193
235	196
236	186
237	185
238	186
239	185
240	184
241	185
242	181
243	187
244	180
245	182
246	185
247	185
248	188
249	186
250	183
251	189
252	178
253	187
254	175
255	180
256	185
257	189
258	180
259	182
260	188
261	184
262	181
263	181
264	183
265	182
266	181
267	186
268	188
269	178
270	185
271	187
272	178
273	181
274	182
275	185
276	186
277	178
278	185
279	183
280	183
281	185
282	186
283	188
284	186
285	187
286	174
287	184
288	179
289	184
290	175
291	177
292	179
293	177
294	178
295	172
296	177
297	178
298	180
299	180
300	178
